"year","period","periodName","footnotes","LNS12300000","LNS12300001","LNS12300002","date"
1948,"M01","January","",56.6,83.8,30.9,1948-01-01
1948,"M02","February","",56.7,83.9,31,1948-02-01
1948,"M03","March","",56.1,83,30.7,1948-03-01
1948,"M04","April","",56.7,83.3,31.6,1948-04-01
1948,"M05","May","",56.2,83.1,30.9,1948-05-01
1948,"M06","June","",57,83.7,31.9,1948-06-01
1948,"M07","July","",57.1,83.8,32,1948-07-01
1948,"M08","August","",56.6,83.5,31.3,1948-08-01
1948,"M09","September","",56.6,83.2,31.7,1948-09-01
1948,"M10","October","",56.5,83.5,31.1,1948-10-01
1948,"M11","November","",56.5,83.3,31.3,1948-11-01
1948,"M12","December","",56.8,83.5,31.6,1948-12-01
1949,"M01","January","",56.2,82.8,31.2,1949-01-01
1949,"M02","February","",56.2,82.6,31.5,1949-02-01
1949,"M03","March","",56,82.1,31.5,1949-03-01
1949,"M04","April","",55.7,82,31,1949-04-01
1949,"M05","May","",55.4,81.3,31.1,1949-05-01
1949,"M06","June","",55,80.9,30.7,1949-06-01
1949,"M07","July","",55,80.4,31.1,1949-07-01
1949,"M08","August","",55.1,80.7,31.2,1949-08-01
1949,"M09","September","",55.3,81,31.1,1949-09-01
1949,"M10","October","",54.9,80,31.3,1949-10-01
1949,"M11","November","",55.6,81.2,31.6,1949-11-01
1949,"M12","December","",55.3,81,31.3,1949-12-01
1950,"M01","January","",55.1,80.7,31.1,1950-01-01
1950,"M02","February","",55.1,80.7,31.1,1950-02-01
1950,"M03","March","",55.1,80.7,31,1950-03-01
1950,"M04","April","",55.8,81.1,32.1,1950-04-01
1950,"M05","May","",55.8,81.6,31.6,1950-05-01
1950,"M06","June","",56.2,81.8,32.1,1950-06-01
1950,"M07","July","",56.1,82,31.8,1950-07-01
1950,"M08","August","",56.8,82.8,32.5,1950-08-01
1950,"M09","September","",56.6,82.9,32,1950-09-01
1950,"M10","October","",56.9,83,32.6,1950-10-01
1950,"M11","November","",56.9,83.1,32.6,1950-11-01
1950,"M12","December","",56.7,83,32.4,1950-12-01
1951,"M01","January","",56.9,83.1,32.7,1951-01-01
1951,"M02","February","",57,83.7,32.6,1951-02-01
1951,"M03","March","",57.7,84.5,33.3,1951-03-01
1951,"M04","April","",57.3,84.1,32.9,1951-04-01
1951,"M05","May","",57.6,84.5,33.2,1951-05-01
1951,"M06","June","",57.1,84,32.7,1951-06-01
1951,"M07","July","",57.6,83.9,33.8,1951-07-01
1951,"M08","August","",57.4,84.1,33.3,1951-08-01
1951,"M09","September","",57.1,84,32.9,1951-09-01
1951,"M10","October","",57.3,84.1,33.2,1951-10-01
1951,"M11","November","",57.1,83.8,33.1,1951-11-01
1951,"M12","December","",57.7,84.5,33.6,1951-12-01
1952,"M01","January","",57.7,84.4,33.7,1952-01-01
1952,"M02","February","",57.7,84.5,33.5,1952-02-01
1952,"M03","March","",57.1,84.2,32.9,1952-03-01
1952,"M04","April","",57.1,84,33.1,1952-04-01
1952,"M05","May","",57.3,84.2,33.3,1952-05-01
1952,"M06","June","",57.3,84,33.4,1952-06-01
1952,"M07","July","",57,83.7,33.1,1952-07-01
1952,"M08","August","",56.8,83.2,33.1,1952-08-01
1952,"M09","September","",57.4,83.3,34.2,1952-09-01
1952,"M10","October","",56.9,83.4,33.3,1952-10-01
1952,"M11","November","",57.5,83.5,34.2,1952-11-01
1952,"M12","December","",57.6,84.3,33.8,1952-12-01
1953,"M01","January","",57.8,84.1,34.1,1953-01-01
1953,"M02","February","",58,84.7,33.9,1953-02-01
1953,"M03","March","",58.1,84.7,34.1,1953-03-01
1953,"M04","April","",57.5,84,33.6,1953-04-01
1953,"M05","May","",57.1,83.7,33.1,1953-05-01
1953,"M06","June","",57.4,83.8,33.7,1953-06-01
1953,"M07","July","",57.4,83.8,33.6,1953-07-01
1953,"M08","August","",57.1,83.6,33.2,1953-08-01
1953,"M09","September","",56.8,83.1,33.1,1953-09-01
1953,"M10","October","",56.7,82.9,33.1,1953-10-01
1953,"M11","November","",56.5,83,32.6,1953-11-01
1953,"M12","December","",55.7,82.2,31.9,1953-12-01
1954,"M01","January","",55.7,82,31.9,1954-01-01
1954,"M02","February","",56.2,82,33,1954-02-01
1954,"M03","March","",55.7,81,32.9,1954-03-01
1954,"M04","April","",55.7,81.1,32.7,1954-04-01
1954,"M05","May","",55.4,80.8,32.4,1954-05-01
1954,"M06","June","",55.2,80.7,32.2,1954-06-01
1954,"M07","July","",55,80.6,31.9,1954-07-01
1954,"M08","August","",55.2,80.8,32.1,1954-08-01
1954,"M09","September","",55.5,80.9,32.7,1954-09-01
1954,"M10","October","",55.5,80.6,32.8,1954-10-01
1954,"M11","November","",55.5,80.7,32.7,1954-11-01
1954,"M12","December","",55.2,80.6,32.3,1954-12-01
1955,"M01","January","",55.7,81,32.9,1955-01-01
1955,"M02","February","",55.7,81,32.8,1955-02-01
1955,"M03","March","",55.8,81.2,32.8,1955-03-01
1955,"M04","April","",56.2,81.2,33.6,1955-04-01
1955,"M05","May","",56.3,81.6,33.3,1955-05-01
1955,"M06","June","",56.3,81.5,33.5,1955-06-01
1955,"M07","July","",56.9,82.1,34.2,1955-07-01
1955,"M08","August","",57.1,82,34.6,1955-08-01
1955,"M09","September","",57.2,82.4,34.4,1955-09-01
1955,"M10","October","",57.2,82.3,34.5,1955-10-01
1955,"M11","November","",57.4,82.5,34.7,1955-11-01
1955,"M12","December","",57.7,82.7,35.2,1955-12-01
1956,"M01","January","",57.8,82.9,35,1956-01-01
1956,"M02","February","",57.5,82.6,34.8,1956-02-01
1956,"M03","March","",57.3,82.5,34.5,1956-03-01
1956,"M04","April","",57.5,82.5,34.9,1956-04-01
1956,"M05","May","",57.6,82.4,35.2,1956-05-01
1956,"M06","June","",57.5,82.3,35.1,1956-06-01
1956,"M07","July","",57.5,82.2,35,1956-07-01
1956,"M08","August","",57.6,82.3,35.2,1956-08-01
1956,"M09","September","",57.6,82.1,35.4,1956-09-01
1956,"M10","October","",57.5,82,35.2,1956-10-01
1956,"M11","November","",57.3,81.7,35.1,1956-11-01
1956,"M12","December","",57.3,81.7,35.2,1956-12-01
1957,"M01","January","",57,81.5,34.9,1957-01-01
1957,"M02","February","",57.5,81.9,35.4,1957-02-01
1957,"M03","March","",57.6,82.2,35.4,1957-03-01
1957,"M04","April","",57.2,81.8,35,1957-04-01
1957,"M05","May","",57.1,81.7,34.9,1957-05-01
1957,"M06","June","",57.2,81.8,35,1957-06-01
1957,"M07","July","",57.5,81.8,35.4,1957-07-01
1957,"M08","August","",56.9,81.2,34.9,1957-08-01
1957,"M09","September","",57,81,35.2,1957-09-01
1957,"M10","October","",56.8,80.7,35.2,1957-10-01
1957,"M11","November","",56.4,80.1,35,1957-11-01
1957,"M12","December","",56.6,80.1,35.3,1957-12-01
1958,"M01","January","",55.9,79.3,34.7,1958-01-01
1958,"M02","February","",55.5,78.7,34.6,1958-02-01
1958,"M03","March","",55.3,78.3,34.6,1958-03-01
1958,"M04","April","",55.2,78.1,34.5,1958-04-01
1958,"M05","May","",55.4,78.3,34.6,1958-05-01
1958,"M06","June","",55.2,78.1,34.5,1958-06-01
1958,"M07","July","",55.2,78.2,34.3,1958-07-01
1958,"M08","August","",55.4,78.3,34.6,1958-08-01
1958,"M09","September","",55.4,78.6,34.4,1958-09-01
1958,"M10","October","",55.6,78.9,34.5,1958-10-01
1958,"M11","November","",55.5,78.7,34.6,1958-11-01
1958,"M12","December","",55.5,78.6,34.6,1958-12-01
1959,"M01","January","",55.7,78.8,34.8,1959-01-01
1959,"M02","February","",55.5,78.7,34.6,1959-02-01
1959,"M03","March","",56,79.3,34.8,1959-03-01
1959,"M04","April","",56.3,79.8,35,1959-04-01
1959,"M05","May","",56.2,79.6,35,1959-05-01
1959,"M06","June","",56.3,79.5,35.2,1959-06-01
1959,"M07","July","",56.3,79.8,35,1959-07-01
1959,"M08","August","",56.1,79.4,35,1959-08-01
1959,"M09","September","",56,79.3,34.9,1959-09-01
1959,"M10","October","",56.1,79.2,35.1,1959-10-01
1959,"M11","November","",55.7,78.6,34.9,1959-11-01
1959,"M12","December","",56.3,79.7,35.1,1959-12-01
1960,"M01","January","",56,79.4,34.9,1960-01-01
1960,"M02","February","",56.2,79.6,35.1,1960-02-01
1960,"M03","March","",55.4,78.5,34.5,1960-03-01
1960,"M04","April","",56.4,79.4,35.7,1960-04-01
1960,"M05","May","",56.4,79.2,35.8,1960-05-01
1960,"M06","June","",56.5,78.9,36.2,1960-06-01
1960,"M07","July","",56.2,78.7,35.8,1960-07-01
1960,"M08","August","",56.1,78.7,35.7,1960-08-01
1960,"M09","September","",56.4,78.9,36.1,1960-09-01
1960,"M10","October","",55.8,78.5,35.3,1960-10-01
1960,"M11","November","",56.1,78.7,35.7,1960-11-01
1960,"M12","December","",55.7,78.1,35.6,1960-12-01
1961,"M01","January","",55.7,78,35.5,1961-01-01
1961,"M02","February","",55.5,77.4,35.6,1961-02-01
1961,"M03","March","",55.6,77.6,35.8,1961-03-01
1961,"M04","April","",55.2,77.2,35.3,1961-04-01
1961,"M05","May","",55.2,77.3,35.2,1961-05-01
1961,"M06","June","",55.6,77.7,35.6,1961-06-01
1961,"M07","July","",55.2,77.3,35.2,1961-07-01
1961,"M08","August","",55.3,77.6,35.3,1961-08-01
1961,"M09","September","",55,77.4,34.9,1961-09-01
1961,"M10","October","",55.3,77.5,35.3,1961-10-01
1961,"M11","November","",55.5,77.9,35.3,1961-11-01
1961,"M12","December","",55.3,77.8,35.1,1961-12-01
1962,"M01","January","",55.4,77.8,35.4,1962-01-01
1962,"M02","February","",55.7,78.2,35.6,1962-02-01
1962,"M03","March","",55.7,78.2,35.5,1962-03-01
1962,"M04","April","",55.4,77.7,35.5,1962-04-01
1962,"M05","May","",55.7,78.1,35.5,1962-05-01
1962,"M06","June","",55.6,77.8,35.6,1962-06-01
1962,"M07","July","",55.3,77.5,35.4,1962-07-01
1962,"M08","August","",55.7,77.7,35.8,1962-08-01
1962,"M09","September","",55.7,77.7,35.9,1962-09-01
1962,"M10","October","",55.5,77.7,35.6,1962-10-01
1962,"M11","November","",55.2,77.2,35.5,1962-11-01
1962,"M12","December","",55.2,77.2,35.4,1962-12-01
1963,"M01","January","",55.2,77,35.6,1963-01-01
1963,"M02","February","",55.1,76.7,35.7,1963-02-01
1963,"M03","March","",55.3,77,35.8,1963-03-01
1963,"M04","April","",55.5,77.1,36,1963-04-01
1963,"M05","May","",55.3,77,35.9,1963-05-01
1963,"M06","June","",55.3,77.1,35.7,1963-06-01
1963,"M07","July","",55.4,77.3,35.8,1963-07-01
1963,"M08","August","",55.4,77.3,35.6,1963-08-01
1963,"M09","September","",55.5,77.4,35.8,1963-09-01
1963,"M10","October","",55.5,77.2,36,1963-10-01
1963,"M11","November","",55.4,77.1,36,1963-11-01
1963,"M12","December","",55.3,76.9,35.9,1963-12-01
1964,"M01","January","",55.3,76.9,35.9,1964-01-01
1964,"M02","February","",55.6,77.1,36.3,1964-02-01
1964,"M03","March","",55.5,77.1,36.2,1964-03-01
1964,"M04","April","",55.9,77.4,36.7,1964-04-01
1964,"M05","May","",56.1,77.7,36.6,1964-05-01
1964,"M06","June","",55.6,77.1,36.5,1964-06-01
1964,"M07","July","",55.7,77.5,36.2,1964-07-01
1964,"M08","August","",55.7,77.3,36.4,1964-08-01
1964,"M09","September","",55.7,77.4,36.2,1964-09-01
1964,"M10","October","",55.6,77.3,36.2,1964-10-01
1964,"M11","November","",55.7,77.3,36.3,1964-11-01
1964,"M12","December","",55.6,77.1,36.4,1964-12-01
1965,"M01","January","",55.7,77.2,36.4,1965-01-01
1965,"M02","February","",55.7,77.3,36.4,1965-02-01
1965,"M03","March","",55.9,77.4,36.6,1965-03-01
1965,"M04","April","",56,77.5,36.7,1965-04-01
1965,"M05","May","",56.2,77.8,36.9,1965-05-01
1965,"M06","June","",56.1,77.3,37.2,1965-06-01
1965,"M07","July","",56.5,77.7,37.4,1965-07-01
1965,"M08","August","",56.3,77.5,37.3,1965-08-01
1965,"M09","September","",56.2,77.3,37.2,1965-09-01
1965,"M10","October","",56.4,77.6,37.5,1965-10-01
1965,"M11","November","",56.4,77.6,37.5,1965-11-01
1965,"M12","December","",56.6,77.7,37.8,1965-12-01
1966,"M01","January","",56.7,77.8,37.8,1966-01-01
1966,"M02","February","",56.6,77.7,37.7,1966-02-01
1966,"M03","March","",56.6,77.7,37.7,1966-03-01
1966,"M04","April","",56.8,78,37.9,1966-04-01
1966,"M05","May","",56.7,77.8,37.9,1966-05-01
1966,"M06","June","",56.9,78,38.1,1966-06-01
1966,"M07","July","",56.9,77.9,38.2,1966-07-01
1966,"M08","August","",57,77.9,38.5,1966-08-01
1966,"M09","September","",57.1,77.7,38.7,1966-09-01
1966,"M10","October","",57.1,77.9,38.8,1966-10-01
1966,"M11","November","",57.4,78,39.2,1966-11-01
1966,"M12","December","",57.3,77.9,39,1966-12-01
1967,"M01","January","",57.1,78.1,38.6,1967-01-01
1967,"M02","February","",57,77.9,38.6,1967-02-01
1967,"M03","March","",56.8,77.7,38.4,1967-03-01
1967,"M04","April","",57.1,77.8,38.9,1967-04-01
1967,"M05","May","",57,77.8,38.7,1967-05-01
1967,"M06","June","",57.3,78.1,38.9,1967-06-01
1967,"M07","July","",57.4,78.2,39,1967-07-01
1967,"M08","August","",57.4,78.1,39.2,1967-08-01
1967,"M09","September","",57.4,78,39.2,1967-09-01
1967,"M10","October","",57.5,78,39.3,1967-10-01
1967,"M11","November","",57.5,77.9,39.4,1967-11-01
1967,"M12","December","",57.6,77.9,39.7,1967-12-01
1968,"M01","January","",57,77.4,38.9,1968-01-01
1968,"M02","February","",57.3,77.7,39.3,1968-02-01
1968,"M03","March","",57.4,77.6,39.5,1968-03-01
1968,"M04","April","",57.4,77.8,39.4,1968-04-01
1968,"M05","May","",57.8,77.9,40,1968-05-01
1968,"M06","June","",57.8,78,39.9,1968-06-01
1968,"M07","July","",57.6,78,39.7,1968-07-01
1968,"M08","August","",57.5,78,39.5,1968-08-01
1968,"M09","September","",57.5,77.7,39.8,1968-09-01
1968,"M10","October","",57.5,77.7,39.7,1968-10-01
1968,"M11","November","",57.6,77.6,39.9,1968-11-01
1968,"M12","December","",57.7,77.9,39.9,1968-12-01
1969,"M01","January","",57.6,77.7,39.9,1969-01-01
1969,"M02","February","",57.9,77.9,40.3,1969-02-01
1969,"M03","March","",57.9,77.8,40.4,1969-03-01
1969,"M04","April","",57.9,77.7,40.5,1969-04-01
1969,"M05","May","",57.8,77.5,40.4,1969-05-01
1969,"M06","June","",58,77.6,40.8,1969-06-01
1969,"M07","July","",58,77.4,40.9,1969-07-01
1969,"M08","August","",58.1,77.7,40.9,1969-08-01
1969,"M09","September","",58.1,77.6,40.8,1969-09-01
1969,"M10","October","",58.1,77.5,41.1,1969-10-01
1969,"M11","November","",58.1,77.5,41,1969-11-01
1969,"M12","December","",58.1,77.3,41.2,1969-12-01
1970,"M01","January","",58,77.3,41.1,1970-01-01
1970,"M02","February","",57.9,77.1,41,1970-02-01
1970,"M03","March","",57.9,77.1,41,1970-03-01
1970,"M04","April","",57.9,76.7,41.2,1970-04-01
1970,"M05","May","",57.5,76.6,40.6,1970-05-01
1970,"M06","June","",57.3,76,40.7,1970-06-01
1970,"M07","July","",57.4,76,40.9,1970-07-01
1970,"M08","August","",57.2,75.7,40.8,1970-08-01
1970,"M09","September","",57,75.7,40.5,1970-09-01
1970,"M10","October","",57,75.4,40.7,1970-10-01
1970,"M11","November","",56.9,75.4,40.5,1970-11-01
1970,"M12","December","",56.7,75.2,40.4,1970-12-01
1971,"M01","January","",56.8,75.1,40.6,1971-01-01
1971,"M02","February","",56.6,74.9,40.4,1971-02-01
1971,"M03","March","",56.4,74.7,40.2,1971-03-01
1971,"M04","April","",56.6,75.1,40.2,1971-04-01
1971,"M05","May","",56.6,75.1,40.2,1971-05-01
1971,"M06","June","",56.2,74.6,39.9,1971-06-01
1971,"M07","July","",56.5,75,40,1971-07-01
1971,"M08","August","",56.6,74.9,40.3,1971-08-01
1971,"M09","September","",56.6,74.8,40.4,1971-09-01
1971,"M10","October","",56.6,74.7,40.5,1971-10-01
1971,"M11","November","",56.8,74.9,40.7,1971-11-01
1971,"M12","December","",56.8,74.7,40.8,1971-12-01
1972,"M01","January","",56.7,74.6,40.8,1972-01-01
1972,"M02","February","",56.7,74.6,40.8,1972-02-01
1972,"M03","March","",56.9,74.9,41,1972-03-01
1972,"M04","April","",56.9,74.9,40.9,1972-04-01
1972,"M05","May","",57,74.9,41,1972-05-01
1972,"M06","June","",57,75.1,40.9,1972-06-01
1972,"M07","July","",57,75.1,40.9,1972-07-01
1972,"M08","August","",57.1,75.3,41,1972-08-01
1972,"M09","September","",57,75.1,40.9,1972-09-01
1972,"M10","October","",57,75,40.9,1972-10-01
1972,"M11","November","",57.2,75.1,41.1,1972-11-01
1972,"M12","December","",57.3,75.4,41.3,1972-12-01
1973,"M01","January","",57.1,75.1,41,1973-01-01
1973,"M02","February","",57.5,75.4,41.6,1973-02-01
1973,"M03","March","",57.8,75.7,41.7,1973-03-01
1973,"M04","April","",57.7,75.5,41.9,1973-04-01
1973,"M05","May","",57.7,75.3,42.1,1973-05-01
1973,"M06","June","",58,75.6,42.3,1973-06-01
1973,"M07","July","",57.9,75.7,42.1,1973-07-01
1973,"M08","August","",57.8,75.4,42.1,1973-08-01
1973,"M09","September","",57.9,75.4,42.2,1973-09-01
1973,"M10","October","",58.1,75.7,42.4,1973-10-01
1973,"M11","November","",58.2,75.8,42.6,1973-11-01
1973,"M12","December","",58.2,75.8,42.5,1973-12-01
1974,"M01","January","",58.2,76,42.3,1974-01-01
1974,"M02","February","",58.2,75.8,42.6,1974-02-01
1974,"M03","March","",58.2,75.5,42.7,1974-03-01
1974,"M04","April","",58,75.1,42.7,1974-04-01
1974,"M05","May","",58,75.3,42.6,1974-05-01
1974,"M06","June","",58,75,42.7,1974-06-01
1974,"M07","July","",58,74.8,43,1974-07-01
1974,"M08","August","",57.8,74.7,42.8,1974-08-01
1974,"M09","September","",57.7,74.6,42.7,1974-09-01
1974,"M10","October","",57.6,74.4,42.6,1974-10-01
1974,"M11","November","",57.3,74.1,42.3,1974-11-01
1974,"M12","December","",56.9,73.4,42.1,1974-12-01
1975,"M01","January","",56.4,72.6,42,1975-01-01
1975,"M02","February","",56.1,72.2,41.7,1975-02-01
1975,"M03","March","",56,71.9,41.7,1975-03-01
1975,"M04","April","",55.9,71.6,41.8,1975-04-01
1975,"M05","May","",56,71.7,41.9,1975-05-01
1975,"M06","June","",55.8,71.3,41.9,1975-06-01
1975,"M07","July","",56,71.7,42.1,1975-07-01
1975,"M08","August","",56.1,71.8,42.2,1975-08-01
1975,"M09","September","",56.1,71.6,42.2,1975-09-01
1975,"M10","October","",56.1,71.5,42.3,1975-10-01
1975,"M11","November","",56,71.4,42.2,1975-11-01
1975,"M12","December","",56.1,71.4,42.4,1975-12-01
1976,"M01","January","",56.4,71.8,42.7,1976-01-01
1976,"M02","February","",56.5,71.9,42.8,1976-02-01
1976,"M03","March","",56.7,71.9,43,1976-03-01
1976,"M04","April","",56.8,72.2,43.1,1976-04-01
1976,"M05","May","",57,72.2,43.4,1976-05-01
1976,"M06","June","",56.8,71.8,43.3,1976-06-01
1976,"M07","July","",57,72.1,43.5,1976-07-01
1976,"M08","August","",57,72.3,43.3,1976-08-01
1976,"M09","September","",56.9,72.1,43.2,1976-09-01
1976,"M10","October","",56.9,72.1,43.2,1976-10-01
1976,"M11","November","",57,72,43.6,1976-11-01
1976,"M12","December","",57,72,43.6,1976-12-01
1977,"M01","January","",57,72.1,43.6,1977-01-01
1977,"M02","February","",57.2,72.2,43.8,1977-02-01
1977,"M03","March","",57.4,72.3,44,1977-03-01
1977,"M04","April","",57.6,72.6,44.2,1977-04-01
1977,"M05","May","",57.8,72.6,44.6,1977-05-01
1977,"M06","June","",57.9,72.8,44.4,1977-06-01
1977,"M07","July","",57.8,72.8,44.4,1977-07-01
1977,"M08","August","",58,72.9,44.6,1977-08-01
1977,"M09","September","",58.1,72.8,44.8,1977-09-01
1977,"M10","October","",58.2,73.2,44.8,1977-10-01
1977,"M11","November","",58.6,73.5,45.1,1977-11-01
1977,"M12","December","",58.7,73.6,45.3,1977-12-01
1978,"M01","January","",58.8,73.5,45.5,1978-01-01
1978,"M02","February","",58.8,73.4,45.7,1978-02-01
1978,"M03","March","",58.8,73.3,45.8,1978-03-01
1978,"M04","April","",59.2,73.6,46.2,1978-04-01
1978,"M05","May","",59.3,73.8,46.3,1978-05-01
1978,"M06","June","",59.5,74.1,46.5,1978-06-01
1978,"M07","July","",59.3,73.8,46.3,1978-07-01
1978,"M08","August","",59.4,73.9,46.4,1978-08-01
1978,"M09","September","",59.5,73.7,46.7,1978-09-01
1978,"M10","October","",59.7,73.8,47,1978-10-01
1978,"M11","November","",59.8,74.1,47,1978-11-01
1978,"M12","December","",59.8,73.9,47.1,1978-12-01
1979,"M01","January","",59.9,74.2,47.1,1979-01-01
1979,"M02","February","",60.1,74.3,47.3,1979-02-01
1979,"M03","March","",60,74,47.5,1979-03-01
1979,"M04","April","",59.8,73.9,47.1,1979-04-01
1979,"M05","May","",59.8,73.8,47.2,1979-05-01
1979,"M06","June","",59.9,74,47.2,1979-06-01
1979,"M07","July","",60,73.9,47.5,1979-07-01
1979,"M08","August","",59.8,73.7,47.3,1979-08-01
1979,"M09","September","",60,73.9,47.6,1979-09-01
1979,"M10","October","",59.9,73.5,47.7,1979-10-01
1979,"M11","November","",60,73.4,47.9,1979-11-01
1979,"M12","December","",60.1,73.5,48,1979-12-01
1980,"M01","January","",60,73.3,48,1980-01-01
1980,"M02","February","",60,73.4,47.9,1980-02-01
1980,"M03","March","",59.7,73,47.8,1980-03-01
1980,"M04","April","",59.4,72.3,47.7,1980-04-01
1980,"M05","May","",59.1,71.9,47.6,1980-05-01
1980,"M06","June","",58.9,71.5,47.5,1980-06-01
1980,"M07","July","",58.8,71.4,47.5,1980-07-01
1980,"M08","August","",58.8,71.4,47.5,1980-08-01
1980,"M09","September","",58.9,71.4,47.6,1980-09-01
1980,"M10","October","",58.9,71.6,47.6,1980-10-01
1980,"M11","November","",59,71.6,47.7,1980-11-01
1980,"M12","December","",59,71.7,47.6,1980-12-01
1981,"M01","January","",59.1,71.7,47.8,1981-01-01
1981,"M02","February","",59.2,71.6,48,1981-02-01
1981,"M03","March","",59.4,71.8,48.1,1981-03-01
1981,"M04","April","",59.6,72.1,48.3,1981-04-01
1981,"M05","May","",59.5,71.9,48.4,1981-05-01
1981,"M06","June","",59,71.1,48.1,1981-06-01
1981,"M07","July","",59.1,71.5,48.1,1981-07-01
1981,"M08","August","",59.1,71.4,48.1,1981-08-01
1981,"M09","September","",58.7,71.1,47.5,1981-09-01
1981,"M10","October","",58.8,70.8,47.9,1981-10-01
1981,"M11","November","",58.6,70.5,47.9,1981-11-01
1981,"M12","December","",58.2,70,47.6,1981-12-01
1982,"M01","January","",58.2,69.9,47.7,1982-01-01
1982,"M02","February","",58.2,69.9,47.7,1982-02-01
1982,"M03","March","",58.1,69.6,47.7,1982-03-01
1982,"M04","April","",57.9,69.5,47.6,1982-04-01
1982,"M05","May","",58.2,69.7,47.8,1982-05-01
1982,"M06","June","",57.8,68.9,47.8,1982-06-01
1982,"M07","July","",57.7,68.8,47.8,1982-07-01
1982,"M08","August","",57.8,68.8,47.8,1982-08-01
1982,"M09","September","",57.6,68.6,47.8,1982-09-01
1982,"M10","October","",57.4,68.4,47.5,1982-10-01
1982,"M11","November","",57.3,68.2,47.5,1982-11-01
1982,"M12","December","",57.2,68,47.5,1982-12-01
1983,"M01","January","",57.2,67.9,47.5,1983-01-01
1983,"M02","February","",57.1,67.8,47.5,1983-02-01
1983,"M03","March","",57.1,67.8,47.5,1983-03-01
1983,"M04","April","",57.3,68,47.6,1983-04-01
1983,"M05","May","",57.3,68.1,47.5,1983-05-01
1983,"M06","June","",57.8,69,47.7,1983-06-01
1983,"M07","July","",58.1,69.2,48,1983-07-01
1983,"M08","August","",58.2,69.2,48.4,1983-08-01
1983,"M09","September","",58.4,69.3,48.7,1983-09-01
1983,"M10","October","",58.4,69.4,48.5,1983-10-01
1983,"M11","November","",58.7,69.9,48.7,1983-11-01
1983,"M12","December","",58.8,69.9,48.8,1983-12-01
1984,"M01","January","",58.8,70,48.7,1984-01-01
1984,"M02","February","",59.1,70.3,49,1984-02-01
1984,"M03","March","",59.1,70.3,49,1984-03-01
1984,"M04","April","",59.3,70.4,49.3,1984-04-01
1984,"M05","May","",59.7,70.7,49.9,1984-05-01
1984,"M06","June","",59.9,71.2,49.7,1984-06-01
1984,"M07","July","",59.8,70.8,49.8,1984-07-01
1984,"M08","August","",59.6,70.7,49.5,1984-08-01
1984,"M09","September","",59.7,70.9,49.6,1984-09-01
1984,"M10","October","",59.7,70.9,49.6,1984-10-01
1984,"M11","November","",59.8,71,49.7,1984-11-01
1984,"M12","December","",59.9,71,49.9,1984-12-01
1985,"M01","January","",59.9,70.9,50.1,1985-01-01
1985,"M02","February","",60,70.8,50.3,1985-02-01
1985,"M03","March","",60.2,71,50.5,1985-03-01
