"year","period","periodName","footnotes","LNS12300000","LNS12300001","LNS12300002","date"
1985,"M04","April","",60.1,71,50.4,1985-04-01
1985,"M05","May","",60.1,71.1,50.2,1985-05-01
1985,"M06","June","",59.8,70.6,50.1,1985-06-01
1985,"M07","July","",59.9,70.7,50.2,1985-07-01
1985,"M08","August","",60,70.9,50.2,1985-08-01
1985,"M09","September","",60.3,71,50.6,1985-09-01
1985,"M10","October","",60.3,71,50.7,1985-10-01
1985,"M11","November","",60.4,71,50.8,1985-11-01
1985,"M12","December","",60.4,71,50.9,1985-12-01
1986,"M01","January","",60.6,71.3,50.9,1986-01-01
1986,"M02","February","",60.3,70.9,50.8,1986-02-01
1986,"M03","March","",60.5,70.9,51,1986-03-01
1986,"M04","April","",60.5,70.9,51,1986-04-01
1986,"M05","May","",60.5,70.8,51.2,1986-05-01
1986,"M06","June","",60.7,70.9,51.5,1986-06-01
1986,"M07","July","",60.8,70.9,51.6,1986-07-01
1986,"M08","August","",60.8,70.9,51.7,1986-08-01
1986,"M09","September","",60.8,70.9,51.7,1986-09-01
1986,"M10","October","",60.9,70.9,51.8,1986-10-01
1986,"M11","November","",60.9,71.1,51.7,1986-11-01
1986,"M12","December","",61,71.2,51.7,1986-12-01
1987,"M01","January","",61,71.3,51.7,1987-01-01
1987,"M02","February","",61.1,71.3,51.9,1987-02-01
1987,"M03","March","",61.2,71.2,52.1,1987-03-01
1987,"M04","April","",61.3,71.3,52.3,1987-04-01
1987,"M05","May","",61.6,71.5,52.6,1987-05-01
1987,"M06","June","",61.4,71.3,52.5,1987-06-01
1987,"M07","July","",61.6,71.4,52.7,1987-07-01
1987,"M08","August","",61.8,71.6,52.9,1987-08-01
1987,"M09","September","",61.6,71.6,52.6,1987-09-01
1987,"M10","October","",61.8,71.7,52.8,1987-10-01
1987,"M11","November","",61.9,71.7,52.9,1987-11-01
1987,"M12","December","",62,71.8,53.1,1987-12-01
1988,"M01","January","",62,71.9,53.1,1988-01-01
1988,"M02","February","",62.1,72,53.1,1988-02-01
1988,"M03","March","",61.9,71.6,53.2,1988-03-01
1988,"M04","April","",62.2,72.2,53.2,1988-04-01
1988,"M05","May","",62,72,52.9,1988-05-01
1988,"M06","June","",62.3,72.1,53.3,1988-06-01
1988,"M07","July","",62.3,72.2,53.3,1988-07-01
1988,"M08","August","",62.4,72.2,53.5,1988-08-01
1988,"M09","September","",62.4,72.1,53.5,1988-09-01
1988,"M10","October","",62.5,72,53.8,1988-10-01
1988,"M11","November","",62.7,72.1,54.1,1988-11-01
1988,"M12","December","",62.6,72,54.1,1988-12-01
1989,"M01","January","",62.9,72.2,54.4,1989-01-01
1989,"M02","February","",62.9,72.4,54.2,1989-02-01
1989,"M03","March","",62.9,72.6,54.2,1989-03-01
1989,"M04","April","",62.9,72.5,54.2,1989-04-01
1989,"M05","May","",62.9,72.4,54.2,1989-05-01
1989,"M06","June","",63,72.8,54.1,1989-06-01
1989,"M07","July","",63,72.7,54.2,1989-07-01
1989,"M08","August","",63.1,72.6,54.4,1989-08-01
1989,"M09","September","",62.8,72,54.5,1989-09-01
1989,"M10","October","",62.9,72.4,54.3,1989-10-01
1989,"M11","November","",63,72.3,54.7,1989-11-01
1989,"M12","December","",63,72.3,54.4,1989-12-01
1990,"M01","January","",63.2,72.6,54.6,1990-01-01
1990,"M02","February","",63.2,72.6,54.5,1990-02-01
1990,"M03","March","",63.2,72.6,54.6,1990-03-01
1990,"M04","April","",63,72.3,54.5,1990-04-01
1990,"M05","May","",63.1,72.4,54.6,1990-05-01
1990,"M06","June","",62.9,72.2,54.4,1990-06-01
1990,"M07","July","",62.8,72.1,54.3,1990-07-01
1990,"M08","August","",62.7,71.9,54.4,1990-08-01
1990,"M09","September","",62.5,71.6,54.2,1990-09-01
1990,"M10","October","",62.5,71.6,54.2,1990-10-01
1990,"M11","November","",62.3,71.4,54,1990-11-01
1990,"M12","December","",62.2,71.3,53.9,1990-12-01
1991,"M01","January","",62,71,53.8,1991-01-01
1991,"M02","February","",61.9,70.7,53.8,1991-02-01
1991,"M03","March","",61.8,70.6,53.7,1991-03-01
1991,"M04","April","",62,70.7,54.1,1991-04-01
1991,"M05","May","",61.6,70.4,53.6,1991-05-01
1991,"M06","June","",61.7,70.4,53.7,1991-06-01
1991,"M07","July","",61.6,70.3,53.6,1991-07-01
1991,"M08","August","",61.5,70.2,53.5,1991-08-01
1991,"M09","September","",61.6,70.3,53.7,1991-09-01
1991,"M10","October","",61.5,70.1,53.7,1991-10-01
1991,"M11","November","",61.4,70,53.6,1991-11-01
1991,"M12","December","",61.2,69.7,53.5,1991-12-01
1992,"M01","January","",61.5,69.8,53.8,1992-01-01
1992,"M02","February","",61.3,69.6,53.7,1992-02-01
1992,"M03","March","",61.5,69.8,53.8,1992-03-01
1992,"M04","April","",61.6,70,53.9,1992-04-01
1992,"M05","May","",61.5,69.9,53.8,1992-05-01
1992,"M06","June","",61.5,69.9,53.7,1992-06-01
1992,"M07","July","",61.6,70,53.8,1992-07-01
1992,"M08","August","",61.6,70,53.8,1992-08-01
1992,"M09","September","",61.4,69.9,53.7,1992-09-01
1992,"M10","October","",61.3,69.7,53.6,1992-10-01
1992,"M11","November","",61.4,69.7,53.7,1992-11-01
1992,"M12","December","",61.4,69.8,53.7,1992-12-01
1993,"M01","January","",61.4,69.8,53.7,1993-01-01
1993,"M02","February","",61.4,69.9,53.7,1993-02-01
1993,"M03","March","",61.5,69.9,53.9,1993-03-01
1993,"M04","April","",61.5,69.8,53.8,1993-04-01
1993,"M05","May","",61.7,70.1,54.1,1993-05-01
1993,"M06","June","",61.8,70.1,54.1,1993-06-01
1993,"M07","July","",61.8,70.2,54.1,1993-07-01
1993,"M08","August","",62,70.3,54.3,1993-08-01
1993,"M09","September","",61.7,70,54.2,1993-09-01
1993,"M10","October","",61.8,70,54.3,1993-10-01
1993,"M11","November","",61.9,70.1,54.4,1993-11-01
1993,"M12","December","",62,70.1,54.6,1993-12-01
1994,"M01","January","",62.2,70.2,54.9,1994-01-01
1994,"M02","February","",62.3,70.1,55.1,1994-02-01
1994,"M03","March","",62.1,70,54.9,1994-03-01
1994,"M04","April","",62.3,70.1,55.1,1994-04-01
1994,"M05","May","",62.5,70.3,55.4,1994-05-01
1994,"M06","June","",62.3,70.2,55.1,1994-06-01
1994,"M07","July","",62.3,70.1,55.2,1994-07-01
1994,"M08","August","",62.6,70.5,55.3,1994-08-01
1994,"M09","September","",62.7,70.6,55.4,1994-09-01
1994,"M10","October","",62.9,70.8,55.5,1994-10-01
1994,"M11","November","",63,71,55.6,1994-11-01
1994,"M12","December","",63.1,71.3,55.5,1994-12-01
1995,"M01","January","",63,71.2,55.5,1995-01-01
1995,"M02","February","",63.1,71.3,55.6,1995-02-01
1995,"M03","March","",63.1,71.3,55.6,1995-03-01
1995,"M04","April","",63.1,71.1,55.7,1995-04-01
1995,"M05","May","",62.7,70.5,55.6,1995-05-01
1995,"M06","June","",62.7,70.8,55.3,1995-06-01
1995,"M07","July","",62.8,70.7,55.6,1995-07-01
1995,"M08","August","",62.8,70.6,55.7,1995-08-01
1995,"M09","September","",62.9,70.8,55.6,1995-09-01
1995,"M10","October","",62.9,70.7,55.8,1995-10-01
1995,"M11","November","",62.8,70.3,55.9,1995-11-01
1995,"M12","December","",62.7,70.4,55.6,1995-12-01
1996,"M01","January","",62.7,70.5,55.5,1996-01-01
1996,"M02","February","",62.9,70.7,55.7,1996-02-01
1996,"M03","March","",63,70.7,55.8,1996-03-01
1996,"M04","April","",63,70.7,55.9,1996-04-01
1996,"M05","May","",63,70.8,55.8,1996-05-01
1996,"M06","June","",63.2,71,55.9,1996-06-01
1996,"M07","July","",63.3,71.1,56.1,1996-07-01
1996,"M08","August","",63.3,71.1,56.2,1996-08-01
1996,"M09","September","",63.4,71.1,56.4,1996-09-01
1996,"M10","October","",63.5,71.3,56.4,1996-10-01
1996,"M11","November","",63.4,70.9,56.5,1996-11-01
1996,"M12","December","",63.4,71.1,56.4,1996-12-01
1997,"M01","January","",63.4,71,56.4,1997-01-01
1997,"M02","February","",63.4,71,56.3,1997-02-01
1997,"M03","March","",63.6,71.2,56.6,1997-03-01
1997,"M04","April","",63.7,71.3,56.7,1997-04-01
1997,"M05","May","",63.8,71.5,56.7,1997-05-01
1997,"M06","June","",63.7,71.3,56.8,1997-06-01
1997,"M07","July","",63.9,71.4,57,1997-07-01
1997,"M08","August","",63.9,71.4,57,1997-08-01
1997,"M09","September","",63.9,71.3,57,1997-09-01
1997,"M10","October","",63.9,71.4,57,1997-10-01
1997,"M11","November","",64.1,71.7,57,1997-11-01
1997,"M12","December","",64,71.4,57.2,1997-12-01
1998,"M01","January","",64,71.5,57,1998-01-01
1998,"M02","February","",64,71.5,57,1998-02-01
1998,"M03","March","",64,71.4,57.1,1998-03-01
1998,"M04","April","",64.1,71.8,57,1998-04-01
1998,"M05","May","",64.1,71.7,57.1,1998-05-01
1998,"M06","June","",64,71.6,57,1998-06-01
1998,"M07","July","",64,71.5,57,1998-07-01
1998,"M08","August","",63.9,71.4,57.1,1998-08-01
1998,"M09","September","",64.2,71.6,57.3,1998-09-01
1998,"M10","October","",64.1,71.6,57.1,1998-10-01
1998,"M11","November","",64.2,71.8,57.1,1998-11-01
1998,"M12","December","",64.3,71.7,57.4,1998-12-01
1999,"M01","January","",64.4,71.9,57.4,1999-01-01
1999,"M02","February","",64.2,71.7,57.3,1999-02-01
1999,"M03","March","",64.2,71.7,57.3,1999-03-01
1999,"M04","April","",64.2,71.6,57.3,1999-04-01
1999,"M05","May","",64.3,71.7,57.5,1999-05-01
1999,"M06","June","",64.2,71.6,57.4,1999-06-01
1999,"M07","July","",64.2,71.6,57.4,1999-07-01
1999,"M08","August","",64.2,71.5,57.5,1999-08-01
1999,"M09","September","",64.2,71.6,57.4,1999-09-01
1999,"M10","October","",64.3,71.5,57.6,1999-10-01
1999,"M11","November","",64.4,71.7,57.6,1999-11-01
1999,"M12","December","",64.4,71.8,57.6,1999-12-01
2000,"M01","January","",64.6,72.2,57.6,2000-01-01
2000,"M02","February","",64.6,72.2,57.5,2000-02-01
2000,"M03","March","",64.6,72.2,57.5,2000-03-01
2000,"M04","April","",64.7,72.1,58,2000-04-01
2000,"M05","May","",64.4,71.9,57.5,2000-05-01
2000,"M06","June","",64.5,72,57.5,2000-06-01
2000,"M07","July","",64.2,71.6,57.3,2000-07-01
2000,"M08","August","",64.2,71.9,57.1,2000-08-01
2000,"M09","September","",64.2,71.7,57.4,2000-09-01
2000,"M10","October","",64.2,71.6,57.4,2000-10-01
2000,"M11","November","",64.3,71.7,57.5,2000-11-01
2000,"M12","December","",64.4,71.7,57.6,2000-12-01
2001,"M01","January","",64.4,71.8,57.6,2001-01-01
2001,"M02","February","",64.3,71.6,57.5,2001-02-01
2001,"M03","March","",64.3,71.4,57.7,2001-03-01
2001,"M04","April","",64,71.3,57.2,2001-04-01
2001,"M05","May","",63.8,71.1,57.2,2001-05-01
2001,"M06","June","",63.7,70.9,57,2001-06-01
2001,"M07","July","",63.7,70.9,57,2001-07-01
2001,"M08","August","",63.2,70.4,56.6,2001-08-01
2001,"M09","September","",63.5,70.8,56.7,2001-09-01
2001,"M10","October","",63.2,70.3,56.6,2001-10-01
2001,"M11","November","",63,70,56.6,2001-11-01
2001,"M12","December","",62.9,70,56.3,2001-12-01
2002,"M01","January","",62.7,69.7,56.2,2002-01-01
2002,"M02","February","",63,69.9,56.6,2002-02-01
2002,"M03","March","",62.8,69.8,56.4,2002-03-01
2002,"M04","April","",62.7,69.8,56.2,2002-04-01
2002,"M05","May","",62.9,70.1,56.1,2002-05-01
2002,"M06","June","",62.7,69.8,56.2,2002-06-01
2002,"M07","July","",62.7,69.7,56.1,2002-07-01
2002,"M08","August","",62.7,69.7,56.3,2002-08-01
2002,"M09","September","",63,70,56.4,2002-09-01
2002,"M10","October","",62.7,69.7,56.3,2002-10-01
2002,"M11","November","",62.5,69.2,56.2,2002-11-01
2002,"M12","December","",62.4,69.1,56.2,2002-12-01
2003,"M01","January","",62.5,68.9,56.5,2003-01-01
2003,"M02","February","",62.5,69.2,56.2,2003-02-01
2003,"M03","March","",62.4,68.9,56.3,2003-03-01
2003,"M04","April","",62.4,69,56.3,2003-04-01
2003,"M05","May","",62.3,68.8,56.3,2003-05-01
2003,"M06","June","",62.3,68.7,56.4,2003-06-01
2003,"M07","July","",62.1,68.6,56.1,2003-07-01
2003,"M08","August","",62.1,68.6,56,2003-08-01
2003,"M09","September","",62,68.9,55.7,2003-09-01
2003,"M10","October","",62.1,68.9,55.9,2003-10-01
2003,"M11","November","",62.3,69,56,2003-11-01
2003,"M12","December","",62.2,69.2,55.7,2003-12-01
2004,"M01","January","",62.3,69.4,55.7,2004-01-01
2004,"M02","February","",62.3,69.1,56,2004-02-01
2004,"M03","March","",62.2,69,55.9,2004-03-01
2004,"M04","April","",62.3,69,56,2004-04-01
2004,"M05","May","",62.3,68.9,56.1,2004-05-01
2004,"M06","June","",62.4,69.2,56,2004-06-01
2004,"M07","July","",62.5,69.4,56,2004-07-01
2004,"M08","August","",62.4,69.3,56,2004-08-01
2004,"M09","September","",62.3,69.1,55.9,2004-09-01
2004,"M10","October","",62.3,69.2,55.9,2004-10-01
2004,"M11","November","",62.5,69.4,56,2004-11-01
2004,"M12","December","",62.4,69.2,56.1,2004-12-01
2005,"M01","January","",62.4,69.1,56.1,2005-01-01
2005,"M02","February","",62.4,69.2,56,2005-02-01
2005,"M03","March","",62.4,69.4,56,2005-03-01
2005,"M04","April","",62.7,69.6,56.2,2005-04-01
2005,"M05","May","",62.8,69.8,56.2,2005-05-01
2005,"M06","June","",62.7,69.8,56.1,2005-06-01
2005,"M07","July","",62.8,69.8,56.2,2005-07-01
2005,"M08","August","",62.9,69.9,56.4,2005-08-01
2005,"M09","September","",62.8,69.7,56.4,2005-09-01
2005,"M10","October","",62.8,69.7,56.4,2005-10-01
2005,"M11","November","",62.7,69.6,56.3,2005-11-01
2005,"M12","December","",62.8,69.7,56.3,2005-12-01
2006,"M01","January","",62.9,70,56.3,2006-01-01
2006,"M02","February","",63,70,56.4,2006-02-01
2006,"M03","March","",63.1,70.2,56.4,2006-03-01
2006,"M04","April","",63,70,56.4,2006-04-01
2006,"M05","May","",63.1,70,56.6,2006-05-01
2006,"M06","June","",63.1,70,56.7,2006-06-01
2006,"M07","July","",63,69.6,56.8,2006-07-01
2006,"M08","August","",63.1,69.9,56.8,2006-08-01
2006,"M09","September","",63.1,70.2,56.5,2006-09-01
2006,"M10","October","",63.3,70.2,56.8,2006-10-01
2006,"M11","November","",63.3,70.2,56.8,2006-11-01
2006,"M12","December","",63.4,70.4,56.9,2006-12-01
2007,"M01","January","",63.3,70.3,56.8,2007-01-01
2007,"M02","February","",63.3,70.1,56.8,2007-02-01
2007,"M03","March","",63.3,70.2,56.9,2007-03-01
2007,"M04","April","",63,70,56.3,2007-04-01
2007,"M05","May","",63,69.9,56.6,2007-05-01
2007,"M06","June","",63,69.8,56.7,2007-06-01
2007,"M07","July","",62.9,69.6,56.6,2007-07-01
2007,"M08","August","",62.7,69.4,56.5,2007-08-01
2007,"M09","September","",62.9,69.5,56.8,2007-09-01
2007,"M10","October","",62.7,69.3,56.5,2007-10-01
2007,"M11","November","",62.9,69.6,56.6,2007-11-01
2007,"M12","December","",62.7,69.4,56.5,2007-12-01
2008,"M01","January","",62.9,69.6,56.6,2008-01-01
2008,"M02","February","",62.8,69.5,56.5,2008-02-01
2008,"M03","March","",62.7,69.3,56.5,2008-03-01
2008,"M04","April","",62.7,69.2,56.6,2008-04-01
2008,"M05","May","",62.5,69,56.5,2008-05-01
2008,"M06","June","",62.4,68.8,56.4,2008-06-01
2008,"M07","July","",62.2,68.6,56.3,2008-07-01
2008,"M08","August","",62,68.3,56.1,2008-08-01
2008,"M09","September","",61.9,68.1,56.1,2008-09-01
2008,"M10","October","",61.7,67.8,56.1,2008-10-01
2008,"M11","November","",61.4,67.3,55.8,2008-11-01
2008,"M12","December","",61,66.7,55.6,2008-12-01
2009,"M01","January","",60.6,66.2,55.2,2009-01-01
2009,"M02","February","",60.3,65.7,55.2,2009-02-01
2009,"M03","March","",59.9,65.1,55,2009-03-01
2009,"M04","April","",59.8,65,54.9,2009-04-01
2009,"M05","May","",59.6,64.8,54.7,2009-05-01
2009,"M06","June","",59.4,64.6,54.5,2009-06-01
2009,"M07","July","",59.3,64.5,54.5,2009-07-01
2009,"M08","August","",59.1,64.2,54.3,2009-08-01
2009,"M09","September","",58.7,63.9,53.9,2009-09-01
2009,"M10","October","",58.5,63.7,53.7,2009-10-01
2009,"M11","November","",58.6,63.6,53.8,2009-11-01
2009,"M12","December","",58.3,63.3,53.5,2009-12-01
2010,"M01","January","",58.5,63.3,53.9,2010-01-01
2010,"M02","February","",58.5,63.4,53.8,2010-02-01
2010,"M03","March","",58.5,63.6,53.7,2010-03-01
2010,"M04","April","",58.7,64,53.7,2010-04-01
2010,"M05","May","",58.6,63.9,53.6,2010-05-01
2010,"M06","June","",58.5,63.8,53.6,2010-06-01
2010,"M07","July","",58.5,63.9,53.5,2010-07-01
2010,"M08","August","",58.6,63.9,53.5,2010-08-01
2010,"M09","September","",58.5,63.8,53.5,2010-09-01
2010,"M10","October","",58.3,63.6,53.3,2010-10-01
2010,"M11","November","",58.2,63.4,53.4,2010-11-01
2010,"M12","December","",58.3,63.6,53.3,2010-12-01
2011,"M01","January","",58.3,63.7,53.3,2011-01-01
2011,"M02","February","",58.4,63.8,53.2,2011-02-01
2011,"M03","March","",58.4,63.8,53.4,2011-03-01
2011,"M04","April","",58.4,63.7,53.3,2011-04-01
2011,"M05","May","",58.3,63.8,53.2,2011-05-01
2011,"M06","June","",58.2,63.7,53,2011-06-01
2011,"M07","July","",58.2,63.6,53.1,2011-07-01
2011,"M08","August","",58.3,63.9,53.1,2011-08-01
2011,"M09","September","",58.4,63.9,53.2,2011-09-01
2011,"M10","October","",58.4,63.9,53.3,2011-10-01
2011,"M11","November","",58.6,64.3,53.2,2011-11-01
2011,"M12","December","",58.6,64.4,53.1,2011-12-01
2012,"M01","January","",58.4,64.3,52.9,2012-01-01
2012,"M02","February","",58.5,64.3,53.1,2012-02-01
2012,"M03","March","",58.5,64.3,53.2,2012-03-01
2012,"M04","April","",58.4,64.3,53,2012-04-01
2012,"M05","May","",58.5,64.3,53.1,2012-05-01
2012,"M06","June","",58.6,64.4,53.2,2012-06-01
2012,"M07","July","",58.5,64.3,53,2012-07-01
2012,"M08","August","",58.4,64.1,53.1,2012-08-01
2012,"M09","September","",58.7,64.5,53.3,2012-09-01
2012,"M10","October","",58.8,64.7,53.3,2012-10-01
2012,"M11","November","",58.7,64.6,53.2,2012-11-01
2012,"M12","December","",58.7,64.6,53.2,2012-12-01
2013,"M01","January","",58.6,64.5,53,2013-01-01
2013,"M02","February","",58.6,64.5,53,2013-02-01
2013,"M03","March","",58.5,64.5,52.9,2013-03-01
2013,"M04","April","",58.6,64.4,53.2,2013-04-01
2013,"M05","May","",58.6,64.4,53.2,2013-05-01
2013,"M06","June","",58.6,64.5,53.2,2013-06-01
2013,"M07","July","",58.7,64.4,53.4,2013-07-01
2013,"M08","August","",58.7,64.3,53.5,2013-08-01
2013,"M09","September","",58.7,64.4,53.3,2013-09-01
2013,"M10","October","",58.3,64,52.9,2013-10-01
2013,"M11","November","",58.6,64.5,53.1,2013-11-01
2013,"M12","December","",58.7,64.5,53.2,2013-12-01
2014,"M01","January","",58.8,64.5,53.4,2014-01-01
2014,"M02","February","",58.7,64.3,53.6,2014-02-01
2014,"M03","March","",58.9,64.8,53.4,2014-03-01
2014,"M04","April","",58.9,64.6,53.5,2014-04-01
2014,"M05","May","",58.9,64.6,53.5,2014-05-01
2014,"M06","June","",59,64.9,53.5,2014-06-01
2014,"M07","July","",59,65,53.4,2014-07-01
2014,"M08","August","",59,65,53.4,2014-08-01
2014,"M09","September","",59.1,65.2,53.4,2014-09-01
2014,"M10","October","",59.3,65.3,53.7,2014-10-01
2014,"M11","November","",59.2,65.1,53.7,2014-11-01
2014,"M12","December","",59.3,65.3,53.6,2014-12-01
2015,"M01","January","",59.3,65.3,53.7,2015-01-01
2015,"M02","February","",59.2,65.3,53.6,2015-02-01
2015,"M03","March","",59.2,65.3,53.6,2015-03-01
2015,"M04","April","",59.3,65.5,53.6,2015-04-01
2015,"M05","May","",59.4,65.5,53.8,2015-05-01
2015,"M06","June","",59.4,65.3,53.8,2015-06-01
2015,"M07","July","",59.3,65.4,53.6,2015-07-01
2015,"M08","August","",59.4,65.4,53.8,2015-08-01
2015,"M09","September","",59.2,65.3,53.5,2015-09-01
2015,"M10","October","",59.3,65.3,53.7,2015-10-01
2015,"M11","November","",59.4,65.2,54,2015-11-01
2015,"M12","December","",59.6,65.5,54.1,2015-12-01
2016,"M01","January","",59.7,65.7,54.1,2016-01-01
2016,"M02","February","",59.8,65.9,54.1,2016-02-01
2016,"M03","March","",59.8,65.9,54.2,2016-03-01
2016,"M04","April","",59.7,65.8,54,2016-04-01
2016,"M05","May","",59.7,65.7,54.1,2016-05-01
2016,"M06","June","",59.7,65.9,53.9,2016-06-01
2016,"M07","July","",59.8,65.8,54.1,2016-07-01
2016,"M08","August","",59.8,65.9,54.1,2016-08-01
2016,"M09","September","",59.7,65.8,54.1,2016-09-01
2016,"M10","October","",59.7,65.7,54.1,2016-10-01
2016,"M11","November","",59.7,65.7,54.1,2016-11-01
2016,"M12","December","",59.7,65.7,54.1,2016-12-01
2017,"M01","January","",59.9,65.9,54.2,2017-01-01
2017,"M02","February","",60,65.9,54.4,2017-02-01
2017,"M03","March","",60.2,66,54.7,2017-03-01
2017,"M04","April","",60.2,66.2,54.6,2017-04-01
2017,"M05","May","",60.1,66,54.5,2017-05-01
2017,"M06","June","",60.1,66.1,54.6,2017-06-01
2017,"M07","July","",60.2,66,54.8,2017-07-01
2017,"M08","August","",60.1,66,54.6,2017-08-01
2017,"M09","September","",60.4,66.3,54.8,2017-09-01
2017,"M10","October","",60.1,66,54.5,2017-10-01
2017,"M11","November","",60.1,65.9,54.6,2017-11-01
2017,"M12","December","",60.1,66.1,54.5,2017-12-01
2018,"M01","January","",60.2,66.3,54.5,2018-01-01
2018,"M02","February","",60.4,66.6,54.7,2018-02-01
2018,"M03","March","",60.4,66.5,54.7,2018-03-01
2018,"M04","April","",60.4,66.5,54.7,2018-04-01
2018,"M05","May","",60.5,66.5,54.8,2018-05-01
2018,"M06","June","",60.4,66.3,54.9,2018-06-01
2018,"M07","July","",60.5,66.3,55.2,2018-07-01
2018,"M08","August","",60.3,66.1,54.8,2018-08-01
2018,"M09","September","",60.4,66.1,55,2018-09-01
2018,"M10","October","",60.5,66.2,55.1,2018-10-01
2018,"M11","November","",60.5,66.4,55.1,2018-11-01
2018,"M12","December","",60.6,66.2,55.2,2018-12-01
2019,"M01","January","",60.6,66.5,55.2,2019-01-01
2019,"M02","February","",60.8,66.5,55.3,2019-02-01
2019,"M03","March","",60.7,66.5,55.2,2019-03-01
2019,"M04","April","",60.6,66.4,55.2,2019-04-01
2019,"M05","May","",60.6,66.5,55,2019-05-01
2019,"M06","June","",60.7,66.6,55.1,2019-06-01
2019,"M07","July","",60.8,66.7,55.2,2019-07-01
2019,"M08","August","",60.8,66.6,55.4,2019-08-01
2019,"M09","September","",60.9,66.6,55.6,2019-09-01
2019,"M10","October","",60.9,66.5,55.7,2019-10-01
2019,"M11","November","",61,66.8,55.5,2019-11-01
2019,"M12","December","",61,66.7,55.7,2019-12-01
2020,"M01","January","",61.1,66.8,55.8,2020-01-01
2020,"M02","February","",61.2,66.8,55.9,2020-02-01
2020,"M03","March","",59.9,65.6,54.6,2020-03-01
2020,"M04","April","",51.3,57.2,45.8,2020-04-01
2020,"M05","May","",52.8,58.6,47.3,2020-05-01
2020,"M06","June","",54.7,60.2,49.5,2020-06-01
2020,"M07","July","",55.2,60.6,50.2,2020-07-01
2020,"M08","August","",56.5,62,51.3,2020-08-01
2020,"M09","September","",56.6,62.3,51.2,2020-09-01
2020,"M10","October","",57.4,63,52.1,2020-10-01
2020,"M11","November","",57.4,62.8,52.3,2020-11-01
2020,"M12","December","",57.4,62.9,52.2,2020-12-01
2021,"M01","January","",57.5,63.2,52.2,2021-01-01
2021,"M02","February","",57.6,63.2,52.5,2021-02-01
2021,"M03","March","",57.8,63.2,52.8,2021-03-01
2021,"M04","April","",57.9,63.4,52.8,2021-04-01
2021,"M05","May","",58,63.5,52.9,2021-05-01
2021,"M06","June","",58,63.5,52.9,2021-06-01
2021,"M07","July","",58.4,63.8,53.3,2021-07-01
2021,"M08","August","",58.5,64.1,53.4,2021-08-01
2021,"M09","September","",58.8,64.4,53.5,2021-09-01
2021,"M10","October","",58.9,64.6,53.6,2021-10-01
2021,"M11","November","",59.3,65,53.9,2021-11-01
2021,"M12","December","",59.5,65.1,54.3,2021-12-01
2022,"M01","January","",59.7,65.1,54.6,2022-01-01
2022,"M02","February","",59.9,65.7,54.4,2022-02-01
2022,"M03","March","",60.1,65.8,54.8,2022-03-01
2022,"M04","April","",60,65.5,54.8,2022-04-01
2022,"M05","May","",60.1,65.6,54.9,2022-05-01
2022,"M06","June","",59.9,65.4,54.7,2022-06-01
2022,"M07","July","",60,65.2,55,2022-07-01
2022,"M08","August","",60.1,65.3,55.1,2022-08-01
